Cancer Sites,Age Groups,Age Groups ,Ethnicity,Race,Count,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
All Invasive Cancer Sites Combined,< 1 year,1,Hispanic,American Indian or Alaska Native,30,776585,3.9,2.6,5.5
All Invasive Cancer Sites Combined,< 1 year,1,Hispanic,Asian or Pacific Islander,49,491194,10,7.4,13.2
All Invasive Cancer Sites Combined,< 1 year,1,Hispanic,Black or African American,189,1504631,12.6,10.8,14.5
All Invasive Cancer Sites Combined,< 1 year,1,Hispanic,White,4701,19354943,24.3,23.6,25
All Invasive Cancer Sites Combined,< 1 year,1,Non-Hispanic,American Indian or Alaska Native,219,883254,24.8,21.6,28.3
All Invasive Cancer Sites Combined,< 1 year,1,Non-Hispanic,Asian or Pacific Islander,1183,4911110,24.1,22.7,25.5
All Invasive Cancer Sites Combined,< 1 year,1,Non-Hispanic,Black or African American,2683,13633853,19.7,18.9,20.4
All Invasive Cancer Sites Combined,< 1 year,1,Non-Hispanic,White,13775,48156275,28.6,28.1,29.1
All Invasive Cancer Sites Combined,1-4 years,1-4,Hispanic,American Indian or Alaska Native,91,2925450,3.1,2.5,3.8
All Invasive Cancer Sites Combined,1-4 years,1-4,Hispanic,Asian or Pacific Islander,145,1843198,7.9,6.6,9.3
All Invasive Cancer Sites Combined,1-4 years,1-4,Hispanic,Black or African American,560,5507009,10.2,9.3,11
All Invasive Cancer Sites Combined,1-4 years,1-4,Hispanic,White,17344,76089985,22.8,22.5,23.1
All Invasive Cancer Sites Combined,1-4 years,1-4,Non-Hispanic,American Indian or Alaska Native,763,3572095,21.4,19.9,22.9
All Invasive Cancer Sites Combined,1-4 years,1-4,Non-Hispanic,Asian or Pacific Islander,3923,19866559,19.7,19.1,20.4
All Invasive Cancer Sites Combined,1-4 years,1-4,Non-Hispanic,Black or African American,8996,54729176,16.4,16.1,16.8
All Invasive Cancer Sites Combined,1-4 years,1-4,Non-Hispanic,White,46444,196766492,23.6,23.4,23.8
All Invasive Cancer Sites Combined,5-9 years,5-9,Hispanic,American Indian or Alaska Native,81,3404348,2.4,1.9,3
All Invasive Cancer Sites Combined,5-9 years,5-9,Hispanic,Asian or Pacific Islander,109,2038083,5.3,4.4,6.5
All Invasive Cancer Sites Combined,5-9 years,5-9,Hispanic,Black or African American,370,6316416,5.9,5.3,6.5
All Invasive Cancer Sites Combined,5-9 years,5-9,Hispanic,White,12528,92769288,13.5,13.3,13.7
All Invasive Cancer Sites Combined,5-9 years,5-9,Non-Hispanic,American Indian or Alaska Native,534,4632421,11.5,10.6,12.5
All Invasive Cancer Sites Combined,5-9 years,5-9,Non-Hispanic,Asian or Pacific Islander,2668,24264971,11,10.6,11.4
All Invasive Cancer Sites Combined,5-9 years,5-9,Non-Hispanic,Black or African American,7078,70253758,10.1,9.8,10.3
All Invasive Cancer Sites Combined,5-9 years,5-9,Non-Hispanic,White,33298,256823427,13,12.8,13.1
All Invasive Cancer Sites Combined,10-14 years,10-14,Hispanic,American Indian or Alaska Native,90,3282829,2.7,2.2,3.4
All Invasive Cancer Sites Combined,10-14 years,10-14,Hispanic,Asian or Pacific Islander,93,1838836,5.1,4.1,6.2
All Invasive Cancer Sites Combined,10-14 years,10-14,Hispanic,Black or African American,412,5850518,7,6.4,7.8
All Invasive Cancer Sites Combined,10-14 years,10-14,Hispanic,White,13786,91937206,15,14.7,15.2
All Invasive Cancer Sites Combined,10-14 years,10-14,Non-Hispanic,American Indian or Alaska Native,601,4971856,12.1,11.1,13.1
All Invasive Cancer Sites Combined,10-14 years,10-14,Non-Hispanic,Asian or Pacific Islander,2977,24100806,12.4,11.9,12.8
All Invasive Cancer Sites Combined,10-14 years,10-14,Non-Hispanic,Black or African American,8679,73901469,11.7,11.5,12
All Invasive Cancer Sites Combined,10-14 years,10-14,Non-Hispanic,White,39318,275651150,14.3,14.1,14.4
All Invasive Cancer Sites Combined,15-19 years,15-19,Hispanic,American Indian or Alaska Native,104,3192991,3.3,2.7,3.9
All Invasive Cancer Sites Combined,15-19 years,15-19,Hispanic,Asian or Pacific Islander,134,1701238,7.9,6.6,9.3
All Invasive Cancer Sites Combined,15-19 years,15-19,Hispanic,Black or African American,549,5402047,10.2,9.3,11
All Invasive Cancer Sites Combined,15-19 years,15-19,Hispanic,White,19746,89264310,22.1,21.8,22.4
All Invasive Cancer Sites Combined,15-19 years,15-19,Non-Hispanic,American Indian or Alaska Native,1003,5094142,19.7,18.5,20.9
All Invasive Cancer Sites Combined,15-19 years,15-19,Non-Hispanic,Asian or Pacific Islander,4488,25077934,17.9,17.4,18.4
All Invasive Cancer Sites Combined,15-19 years,15-19,Non-Hispanic,Black or African American,11842,74971847,15.8,15.5,16.1
All Invasive Cancer Sites Combined,15-19 years,15-19,Non-Hispanic,White,69723,287646180,24.2,24.1,24.4
All Invasive Cancer Sites Combined,20-24 years,20-24,Hispanic,American Indian or Alaska Native,158,3094012,5.1,4.3,6
All Invasive Cancer Sites Combined,20-24 years,20-24,Hispanic,Asian or Pacific Islander,181,1667488,10.9,9.3,12.6
All Invasive Cancer Sites Combined,20-24 years,20-24,Hispanic,Black or African American,722,5291002,13.6,12.7,14.7
All Invasive Cancer Sites Combined,20-24 years,20-24,Hispanic,White,28562,89128633,32,31.7,32.4
All Invasive Cancer Sites Combined,20-24 years,20-24,Non-Hispanic,American Indian or Alaska Native,1484,4763763,31.2,29.6,32.8
All Invasive Cancer Sites Combined,20-24 years,20-24,Non-Hispanic,Asian or Pacific Islander,7283,28551932,25.5,24.9,26.1
All Invasive Cancer Sites Combined,20-24 years,20-24,Non-Hispanic,Black or African American,17327,72451572,23.9,23.6,24.3
All Invasive Cancer Sites Combined,20-24 years,20-24,Non-Hispanic,White,115871,286907983,40.4,40.2,40.6
All Invasive Cancer Sites Combined,25-29 years,25-29,Hispanic,American Indian or Alaska Native,227,2973622,7.6,6.7,8.7
All Invasive Cancer Sites Combined,25-29 years,25-29,Hispanic,Asian or Pacific Islander,329,1598619,20.6,18.4,22.9
All Invasive Cancer Sites Combined,25-29 years,25-29,Hispanic,Black or African American,1136,5092395,22.3,21,23.6
All Invasive Cancer Sites Combined,25-29 years,25-29,Hispanic,White,43226,86902967,49.7,49.3,50.2
All Invasive Cancer Sites Combined,25-29 years,25-29,Non-Hispanic,American Indian or Alaska Native,2455,4284354,57.3,55.1,59.6
All Invasive Cancer Sites Combined,25-29 years,25-29,Non-Hispanic,Asian or Pacific Islander,12839,32322344,39.7,39,40.4
All Invasive Cancer Sites Combined,25-29 years,25-29,Non-Hispanic,Black or African American,30196,66930634,45.1,44.6,45.6
All Invasive Cancer Sites Combined,25-29 years,25-29,Non-Hispanic,White,187167,280635142,66.7,66.4,67
All Invasive Cancer Sites Combined,30-34 years,30-34,Hispanic,American Indian or Alaska Native,331,2843324,11.6,10.4,13
All Invasive Cancer Sites Combined,30-34 years,30-34,Hispanic,Asian or Pacific Islander,514,1488207,34.5,31.6,37.7
All Invasive Cancer Sites Combined,30-34 years,30-34,Hispanic,Black or African American,1768,4724516,37.4,35.7,39.2
All Invasive Cancer Sites Combined,30-34 years,30-34,Hispanic,White,63288,83598164,75.7,75.1,76.3
All Invasive Cancer Sites Combined,30-34 years,30-34,Non-Hispanic,American Indian or Alaska Native,3624,4005402,90.5,87.6,93.5
All Invasive Cancer Sites Combined,30-34 years,30-34,Non-Hispanic,Asian or Pacific Islander,22132,33141270,66.8,65.9,67.7
All Invasive Cancer Sites Combined,30-34 years,30-34,Non-Hispanic,Black or African American,50286,63323131,79.4,78.7,80.1
All Invasive Cancer Sites Combined,30-34 years,30-34,Non-Hispanic,White,292982,285419127,102.6,102.3,103
All Invasive Cancer Sites Combined,35-39 years,35-39,Hispanic,American Indian or Alaska Native,435,2653780,16.4,14.9,18
All Invasive Cancer Sites Combined,35-39 years,35-39,Hispanic,Asian or Pacific Islander,760,1336434,56.9,52.9,61.1
All Invasive Cancer Sites Combined,35-39 years,35-39,Hispanic,Black or African American,2532,4209302,60.2,57.8,62.5
All Invasive Cancer Sites Combined,35-39 years,35-39,Hispanic,White,89002,78815596,112.9,112.2,113.7
All Invasive Cancer Sites Combined,35-39 years,35-39,Non-Hispanic,American Indian or Alaska Native,5407,3925843,137.7,134.1,141.4
All Invasive Cancer Sites Combined,35-39 years,35-39,Non-Hispanic,Asian or Pacific Islander,34062,31808479,107.1,106,108.2
All Invasive Cancer Sites Combined,35-39 years,35-39,Non-Hispanic,Black or African American,81851,62384844,131.2,130.3,132.1
All Invasive Cancer Sites Combined,35-39 years,35-39,Non-Hispanic,White,451080,298730691,151,150.6,151.4
