Cancer Sites,Year,Sex, count by year and sex,Age Groups,Count by age group
All Invasive Cancer Sites Combined,1999,Female,631665,< 1 year,23487
All Invasive Cancer Sites Combined,1999,Male,672203,< 1 year,23487
All Invasive Cancer Sites Combined,2000,Female,641827,< 1 year,23487
All Invasive Cancer Sites Combined,2000,Male,689946,< 1 year,23487
All Invasive Cancer Sites Combined,2001,Female,662163,< 1 year,23487
All Invasive Cancer Sites Combined,2001,Male,714899,< 1 year,23487
All Invasive Cancer Sites Combined,2002,Female,667596,< 1 year,23487
All Invasive Cancer Sites Combined,2002,Male,726545,< 1 year,23487
All Invasive Cancer Sites Combined,2003,Female,675915,< 1 year,23487
All Invasive Cancer Sites Combined,2003,Male,731733,< 1 year,23487
All Invasive Cancer Sites Combined,2004,Female,687127,< 1 year,23487
All Invasive Cancer Sites Combined,2004,Male,743860,< 1 year,23487
All Invasive Cancer Sites Combined,2005,Female,702609,< 1 year,23487
All Invasive Cancer Sites Combined,2005,Male,756965,< 1 year,23487
All Invasive Cancer Sites Combined,2006,Female,714495,< 1 year,23487
All Invasive Cancer Sites Combined,2006,Male,781149,< 1 year,23487
All Invasive Cancer Sites Combined,2007,Female,730802,< 1 year,23487
All Invasive Cancer Sites Combined,2007,Male,810778,< 1 year,23487
All Invasive Cancer Sites Combined,2008,Female,749603,< 1 year,23487
All Invasive Cancer Sites Combined,2008,Male,813998,< 1 year,23487
All Invasive Cancer Sites Combined,2009,Female,763599,< 1 year,23487
All Invasive Cancer Sites Combined,2009,Male,817002,< 1 year,23487
All Invasive Cancer Sites Combined,2010,Female,763022,< 1 year,23487
All Invasive Cancer Sites Combined,2010,Male,814199,< 1 year,23487
All Invasive Cancer Sites Combined,2011,Female,780218,< 1 year,23487
All Invasive Cancer Sites Combined,2011,Male,833811,< 1 year,23487
All Invasive Cancer Sites Combined,2012,Female,792541,< 1 year,23487
All Invasive Cancer Sites Combined,2012,Male,811616,< 1 year,23487
All Invasive Cancer Sites Combined,2013,Female,810269,< 1 year,23487
All Invasive Cancer Sites Combined,2013,Male,826776,< 1 year,23487
All Invasive Cancer Sites Combined,2014,Female,826828,< 1 year,23487
All Invasive Cancer Sites Combined,2014,Male,837049,< 1 year,23487
All Invasive Cancer Sites Combined,2015,Female,846942,< 1 year,23487
All Invasive Cancer Sites Combined,2015,Male,860777,< 1 year,23487
All Invasive Cancer Sites Combined,2016,Female,857169,< 1 year,23487
All Invasive Cancer Sites Combined,2016,Male,877189,< 1 year,23487
All Invasive Cancer Sites Combined,2017,Female,866365,< 1 year,23487
All Invasive Cancer Sites Combined,2017,Male,899399,< 1 year,23487
All Invasive Cancer Sites Combined,2018,Female,878993,< 1 year,23487
All Invasive Cancer Sites Combined,2018,Male,911982,< 1 year,23487
All Invasive Cancer Sites Combined,2019,Female,899200,< 1 year,23487
All Invasive Cancer Sites Combined,2019,Male,938941,< 1 year,23487
All Invasive Cancer Sites Combined,2020,Female,813880,< 1 year,23487
All Invasive Cancer Sites Combined,2020,Male,847364,< 1 year,23487
All Invasive Cancer Sites Combined,2021,Female,877348,< 1 year,23487
All Invasive Cancer Sites Combined,2021,Male,900218,< 1 year,23487
All Invasive Cancer Sites Combined,1999,Female,631665,1-4 years,80264
All Invasive Cancer Sites Combined,1999,Male,672203,1-4 years,80264
All Invasive Cancer Sites Combined,2000,Female,641827,1-4 years,80264
All Invasive Cancer Sites Combined,2000,Male,689946,1-4 years,80264
All Invasive Cancer Sites Combined,2001,Female,662163,1-4 years,80264
All Invasive Cancer Sites Combined,2001,Male,714899,1-4 years,80264
All Invasive Cancer Sites Combined,2002,Female,667596,1-4 years,80264
All Invasive Cancer Sites Combined,2002,Male,726545,1-4 years,80264
All Invasive Cancer Sites Combined,2003,Female,675915,1-4 years,80264
All Invasive Cancer Sites Combined,2003,Male,731733,1-4 years,80264
All Invasive Cancer Sites Combined,2004,Female,687127,1-4 years,80264
All Invasive Cancer Sites Combined,2004,Male,743860,1-4 years,80264
All Invasive Cancer Sites Combined,2005,Female,702609,1-4 years,80264
All Invasive Cancer Sites Combined,2005,Male,756965,1-4 years,80264
All Invasive Cancer Sites Combined,2006,Female,714495,1-4 years,80264
