Cancer Sites,Age Group ,Sex,Race,Deaths
Brain and Other Nervous System,1,Female,Black or African American,25
Brain and Other Nervous System,1,Female,White,118
Brain and Other Nervous System,1,Male,Black or African American,29
Brain and Other Nervous System,1,Male,White,134
Brain and Other Nervous System,1-4,Female,Asian or Pacific Islander,29
Brain and Other Nervous System,1-4,Female,Black or African American,175
Brain and Other Nervous System,1-4,Female,White,787
Brain and Other Nervous System,1-4,Male,Asian or Pacific Islander,49
Brain and Other Nervous System,1-4,Male,Black or African American,178
Brain and Other Nervous System,1-4,Male,White,950
Brain and Other Nervous System,5-9,Female,American Indian or Alaska Native,19
Brain and Other Nervous System,5-9,Female,Asian or Pacific Islander,88
Brain and Other Nervous System,5-9,Female,Black or African American,335
Brain and Other Nervous System,5-9,Female,White,1565
Brain and Other Nervous System,5-9,Male,American Indian or Alaska Native,25
Brain and Other Nervous System,5-9,Male,Asian or Pacific Islander,100
Brain and Other Nervous System,5-9,Male,Black or African American,337
Brain and Other Nervous System,5-9,Male,White,1709
Brain and Other Nervous System,10-14,Female,American Indian or Alaska Native,18
Brain and Other Nervous System,10-14,Female,Asian or Pacific Islander,63
Brain and Other Nervous System,10-14,Female,Black or African American,229
Brain and Other Nervous System,10-14,Female,White,1078
Brain and Other Nervous System,10-14,Male,American Indian or Alaska Native,19
Brain and Other Nervous System,10-14,Male,Asian or Pacific Islander,98
Brain and Other Nervous System,10-14,Male,Black or African American,244
Brain and Other Nervous System,10-14,Male,White,1348
Brain and Other Nervous System,15-19,Female,Asian or Pacific Islander,55
Brain and Other Nervous System,15-19,Female,Black or African American,175
Brain and Other Nervous System,15-19,Female,White,817
Brain and Other Nervous System,15-19,Male,Asian or Pacific Islander,72
Brain and Other Nervous System,15-19,Male,Black or African American,210
Brain and Other Nervous System,15-19,Male,White,1221
Brain and Other Nervous System,20-24,Female,Asian or Pacific Islander,52
Brain and Other Nervous System,20-24,Female,Black or African American,145
Brain and Other Nervous System,20-24,Female,White,888
Brain and Other Nervous System,20-24,Male,Asian or Pacific Islander,59
Brain and Other Nervous System,20-24,Male,Black or African American,197
Brain and Other Nervous System,20-24,Male,White,1322
Brain and Other Nervous System,25-29,Female,Asian or Pacific Islander,57
